id,cust_id,card_number,card_type,expiry_date
279,279,3570136553212255,jcb,1/2/2023
280,280,3559419660411407,jcb,9/1/2022
281,281,4041373140706,visa,4/5/2019
282,282,490500638326745366,switch,9/1/2020
283,283,633110047706050032,switch,2/11/2024
284,284,5048378478403655,mastercard,7/1/2023
285,285,3571341660136293,jcb,5/4/2020
286,286,372301067206609,americanexpress,8/3/2023
287,287,374622527941255,americanexpress,6/5/2024
288,288,5602251834273567,bankcard,8/26/2020
289,289,3544337074017487,jcb,11/30/2023
290,290,6709297532522953,laser,5/28/2022
291,291,6762203861014368,maestro,5/30/2024
292,292,3540156194272184,jcb,2/22/2022
293,293,3536763982359655,jcb,7/26/2022
294,294,5429812318222908,mastercard,7/31/2023
295,295,3564346544586059,jcb,8/8/2022
296,296,3558374735794967,jcb,1/20/2020
297,297,5010123654570842,mastercard,4/2/2019
298,298,4911596106978709599,switch,8/2/2020
299,299,201712864275620,diners-club-enroute,6/30/2024
300,300,3564488658525653,jcb,4/4/2023
301,301,3549508435404557,jcb,8/15/2021
302,302,6334947162541169,solo,2/18/2021
303,303,5018645370666426460,maestro,2/26/2019
304,304,201564078015262,diners-club-enroute,5/23/2020
305,305,3586662282523045,jcb,7/25/2019
306,306,3544469057793741,jcb,9/16/2019
307,307,3554107953572937,jcb,6/17/2024
308,308,3556435051554178,jcb,1/29/2023
309,309,3587009231510344,jcb,1/26/2019
310,310,3547851060144227,jcb,12/3/2021
311,311,6389764289689035,instapayment,8/13/2020
312,312,3545913486881683,jcb,8/6/2019
313,313,3536207584007437,jcb,11/4/2022
314,314,201817774805539,diners-club-enroute,12/23/2022
315,315,3575427983844089,jcb,10/18/2021
316,316,3565112424369852,jcb,10/18/2022
317,317,675935166991591148,switch,12/31/2023
318,318,3543430683943697,jcb,2/4/2024
319,319,3553344997852477,jcb,3/15/2023
320,320,5602214880870540742,china-unionpay,6/29/2019
321,321,201447975872094,diners-club-enroute,7/27/2020
322,322,58932089848427583,maestro,6/4/2019
323,323,3539175512921416,jcb,8/6/2021
324,324,5602224694683027,china-unionpay,5/25/2024
325,325,5048373212232288,mastercard,11/27/2022
326,326,3559104723643093,jcb,5/2/2020
327,327,3549457677789376,jcb,12/15/2018
328,328,3572721650364477,jcb,9/13/2021
329,329,3579690778801731,jcb,9/22/2020
330,330,6771073147708383535,laser,4/15/2022
331,331,337941391362414,americanexpress,12/26/2021
332,332,3586837609535175,jcb,6/25/2021
333,333,5602210884028040,bankcard,9/24/2022
334,334,5588395031779260,diners-club-us-ca,6/29/2022
335,335,6392434675532232,instapayment,9/21/2019
336,336,201589308477081,diners-club-enroute,4/1/2024
337,337,3578173339196546,jcb,7/1/2022
338,338,3582676421095297,jcb,6/1/2019
339,339,3540967700041941,jcb,7/20/2020
340,340,503855190552602821,maestro,10/6/2020
341,341,3588913278729031,jcb,10/2/2023
342,342,30137716539857,diners-club-carte-blanche,5/31/2021
343,343,493677932899583663,switch,12/6/2022
344,344,4041379307183088,visa,7/21/2019
345,345,633305515217279808,switch,7/17/2021
346,346,633110614269552496,switch,10/31/2020
347,347,4903906301884089341,switch,8/10/2018
348,348,5610192038465080,china-unionpay,8/12/2020
349,349,3576563602454220,jcb,12/8/2021
350,350,5379463002103150,mastercard,4/11/2020
351,351,3583852406879836,jcb,11/22/2021
352,352,3544175123888239,jcb,10/26/2022
353,353,6761948470923154968,maestro,9/3/2020
354,354,4844726465980912,visa-electron,10/10/2020
355,355,6759843557176602,switch,1/27/2021
356,356,3559192163226453,jcb,1/23/2019
357,357,3560458473496103,jcb,12/8/2019
358,358,5602222515408843586,china-unionpay,6/30/2019
359,359,633482718248962492,solo,9/9/2019
360,360,3560743563573931,jcb,9/29/2020
361,361,4041372013895970,visa,12/6/2021
362,362,67634818082521137,maestro,11/30/2018
363,363,3555162992842238,jcb,11/22/2020
364,364,3587152185263096,jcb,1/19/2024
365,365,3564238370828004,jcb,11/25/2018
366,366,5602212064803368420,china-unionpay,3/7/2023
367,367,4913847736301914,visa-electron,12/28/2022
368,368,3535365414882261,jcb,10/20/2022
369,369,30448473944150,diners-club-carte-blanche,4/2/2021
370,370,3556794045306990,jcb,7/22/2018
371,371,5002359001714465,mastercard,2/15/2023
372,372,630475146997011045,maestro,8/21/2022
373,373,3532242324472918,jcb,8/23/2020
374,374,676737085548868494,solo,2/9/2022
375,375,5602210466119461751,china-unionpay,2/14/2019
376,376,5010129329455582,mastercard,7/18/2022
377,377,6334437875798876806,solo,4/2/2022
378,378,3547198490041403,jcb,4/20/2020
379,379,3582131891874862,jcb,12/23/2021
380,380,490392276853227515,switch,5/2/2022
381,381,3574287944503427,jcb,3/4/2022
382,382,5602225950878482,bankcard,2/7/2021
383,383,3554155553503885,jcb,9/9/2020
384,384,5100138484747817,mastercard,3/17/2021
385,385,3531852042414694,jcb,5/5/2019
386,386,4913873235524632,visa-electron,7/26/2018
387,387,3560733203429172,jcb,11/6/2021
388,388,3541715324949257,jcb,9/19/2022
389,389,5144413199022642,mastercard,12/9/2019
390,390,201543124866761,diners-club-enroute,4/29/2020
391,391,374283835700568,americanexpress,7/1/2024
392,392,3548457328695155,jcb,11/1/2021
393,393,374283440593986,americanexpress,2/3/2019
394,394,564182902101500520,switch,4/24/2020
395,395,5108752672940166,mastercard,12/1/2020
396,396,4041375508981478,visa,5/23/2022
397,397,30282859043158,diners-club-carte-blanche,6/12/2023
398,398,3588867727759454,jcb,12/24/2022
399,399,6334969146627359638,solo,12/7/2022
400,400,3571187054049745,jcb,1/8/2023
401,401,201435904152225,diners-club-enroute,7/19/2023
402,402,5100133139836172,mastercard,1/10/2022
403,403,30589648095483,diners-club-carte-blanche,12/11/2018
404,404,5108759978835073,mastercard,5/18/2023
405,405,5602212235375054,china-unionpay,6/8/2020
406,406,3550357682092434,jcb,10/27/2019
407,407,5602232723248274,china-unionpay,3/5/2022
408,408,3535604031735845,jcb,12/5/2023
409,409,56022259361126186,china-unionpay,3/22/2024
410,410,201455890852406,diners-club-enroute,11/7/2021
411,411,201834085319449,diners-club-enroute,8/9/2022
412,412,3583203763002051,jcb,8/20/2018
413,413,3532624625604242,jcb,5/28/2023
414,414,36286600508157,diners-club-international,6/22/2023
415,415,6759380159159931814,maestro,8/4/2018
416,416,3579105099278642,jcb,7/27/2021
417,417,3562582983183352,jcb,9/3/2018
418,418,201805033712190,diners-club-enroute,10/13/2022
419,419,5322167770159272,mastercard,10/6/2018
420,420,5602226875559450888,china-unionpay,11/21/2023
421,421,4905895524306003412,switch,8/16/2023
422,422,374283447734401,americanexpress,4/19/2019
423,423,3550996971499949,jcb,12/28/2020
424,424,374288742233413,americanexpress,1/26/2024
425,425,5002359145341423,mastercard,9/2/2019
426,426,676746140290179753,solo,11/2/2022
427,427,6334479961616529956,solo,11/15/2022
428,428,3552761540581421,jcb,8/12/2020
429,429,3535914453808875,jcb,9/27/2022
430,430,0604895929616804636,maestro,10/28/2023
431,431,5010122785089060,mastercard,6/8/2021
432,432,6709007590992067,laser,5/20/2019
433,433,56022142734853829,china-unionpay,3/26/2019
434,434,3554049633364709,jcb,7/28/2023
435,435,3566016435229667,jcb,12/2/2023
436,436,5602249676087921,china-unionpay,8/28/2021
437,437,3547989135618187,jcb,3/8/2020
438,438,3566720346453932,jcb,1/14/2019
439,439,201821576862961,diners-club-enroute,5/1/2021
440,440,58932883721712560,maestro,4/19/2020
441,441,3557822230362632,jcb,5/30/2021
442,442,4905043088866990724,switch,8/26/2023
443,443,493660498566052530,switch,6/8/2022
444,444,4905774554832822,switch,12/17/2020
445,445,3549593521037487,jcb,11/19/2019
446,446,5602234810705554,bankcard,9/19/2019
447,447,3552687787735265,jcb,1/22/2024
448,448,5610454932779465,china-unionpay,7/20/2018
449,449,372301030072849,americanexpress,10/7/2022
450,450,5610183621442099,china-unionpay,6/21/2021
451,451,4405412245857248,visa-electron,4/1/2022
452,452,5018268433940145896,maestro,12/29/2018
453,453,3576815616147418,jcb,8/12/2019
454,454,30508650604800,diners-club-carte-blanche,11/8/2022
455,455,5010128350960528,mastercard,10/24/2021
456,456,3556997165148577,jcb,1/26/2022
457,457,3562110423939934,jcb,2/9/2020
458,458,3542880829336407,jcb,8/2/2018
459,459,3572697172189388,jcb,7/8/2019
460,460,5893109857601957,maestro,5/7/2020
461,461,6761878457650785746,maestro,11/3/2023
462,462,3565636416696088,jcb,6/20/2020
463,463,30437755448576,diners-club-carte-blanche,5/1/2020
464,464,5591965308836491,mastercard,1/30/2024
465,465,3544020194826868,jcb,1/27/2022
466,466,4911354451128064749,switch,6/28/2024
467,467,3529734799656269,jcb,12/5/2021
468,468,30263480630787,diners-club-carte-blanche,11/21/2018
469,469,3529984355148652,jcb,12/14/2022
470,470,5018623290731254,maestro,4/28/2022
471,471,6761725824274698,maestro,5/13/2023
472,472,201751803004253,diners-club-enroute,5/13/2020
473,473,3547587238780621,jcb,2/7/2022
474,474,5100140446068365,mastercard,2/14/2022
475,475,3564202837740012,jcb,7/31/2019
476,476,5602236711961855,bankcard,2/21/2024
477,477,3565744986981912,jcb,12/22/2021
478,478,670698353892766387,laser,5/9/2019
479,479,3589624799780853,jcb,8/10/2020
480,480,374288559559629,americanexpress,10/1/2018
481,481,3528184846071271,jcb,10/5/2020
482,482,5602234919253217,china-unionpay,12/27/2023
483,483,3550595926474666,jcb,6/23/2019
484,484,5038139397392961,maestro,3/1/2024
485,485,67633435864553492,maestro,6/10/2021
486,486,56103742903371768,china-unionpay,1/2/2019
487,487,3557372899178622,jcb,8/12/2020
488,488,5020820679935064206,maestro,4/9/2021
489,489,201824117125880,diners-club-enroute,1/13/2023
490,490,67623857603555649,maestro,7/12/2020
491,491,6763698484781711932,maestro,11/29/2018
492,492,3532650731566520,jcb,7/22/2018
493,493,4175005967164104,visa-electron,10/22/2021
494,494,30524192233180,diners-club-carte-blanche,7/28/2019
495,495,3588551127197024,jcb,9/9/2021
496,496,3572349491871151,jcb,3/23/2024
497,497,67718588478094523,laser,1/31/2023
498,498,3560679203208951,jcb,2/13/2020
499,499,372301503392765,americanexpress,6/19/2019
500,500,5002351919027908,mastercard,7/20/2023
501,501,3582614216314136,jcb,6/16/2024
502,502,3557138663401585,jcb,11/28/2022
503,503,5417543878926307,diners-club-us-ca,11/14/2021
504,504,6767301925785602634,solo,1/5/2024
505,505,3545770542472885,jcb,2/18/2022
506,506,3554651606179889,jcb,3/24/2023
507,507,3528649041943680,jcb,5/27/2022
508,508,3578410346415109,jcb,4/20/2019
509,509,5100178413277791,mastercard,5/24/2021
510,510,201595911167944,diners-club-enroute,1/12/2024
511,511,374283403756893,americanexpress,1/16/2023
512,512,3544040791483426,jcb,5/15/2021
513,513,3586194385322422,jcb,4/3/2020
514,514,3535618308779138,jcb,6/19/2021
515,515,4026476199559604,visa-electron,7/25/2021
516,516,5602223212033079,bankcard,1/21/2021
517,517,3546022903246493,jcb,4/28/2023
518,518,5371418484847375,mastercard,11/6/2020
519,519,56022510056032125,china-unionpay,3/27/2021
520,520,3580026216705498,jcb,1/11/2021
521,521,3566159351446855,jcb,7/20/2022
522,522,4041595679093,visa,7/15/2021
523,523,3531093739962741,jcb,7/12/2020
524,524,5602225176367138,china-unionpay,8/18/2020
525,525,5002355534688432,mastercard,6/9/2020
526,526,3587081153503953,jcb,2/9/2022
527,527,670665147637927547,laser,3/24/2019
528,528,3586714631633395,jcb,2/6/2020
529,529,3566733340993746,jcb,7/11/2022
530,530,3589478790345061,jcb,12/21/2018
531,531,6304517503356092,laser,2/26/2021
532,532,3577915903991491,jcb,12/11/2019
533,533,3536019183250585,jcb,7/7/2022
534,534,5602257219793152,china-unionpay,8/18/2022
535,535,3537431966195615,jcb,12/9/2018
536,536,3586103180603837,jcb,3/9/2023
537,537,3538444010009566,jcb,6/15/2022
538,538,201438358768884,diners-club-enroute,2/8/2024
539,539,67596858554148924,maestro,4/9/2024
540,540,346928492376327,americanexpress,12/15/2018
541,541,5511650795243602,diners-club-us-ca,8/30/2018
542,542,6374535407910736,instapayment,3/20/2022
543,543,3566613288053788,jcb,1/1/2021
544,544,675944617158305960,maestro,3/30/2023
545,545,5602210316733266,bankcard,10/18/2022
546,546,3530190646892937,jcb,8/3/2018
547,547,3537616034557404,jcb,2/14/2024
548,548,6334401647923337,solo,10/9/2020
549,549,633334009507587521,switch,4/6/2023
550,550,372301785314412,americanexpress,2/5/2022
551,551,5573856781768529,mastercard,10/27/2019
552,552,3571129162256945,jcb,12/8/2018
553,553,6376660820948911,instapayment,3/15/2024
554,554,4026169605342810,visa-electron,10/16/2019
555,555,3563835747995092,jcb,7/4/2019
556,556,3555006152747168,jcb,6/8/2020
557,557,4913798332008454,visa-electron,12/21/2021
558,558,3576496825126780,jcb,2/15/2024
559,559,56022467547160579,china-unionpay,11/21/2021
560,560,5100179490247756,mastercard,6/5/2021
561,561,5602211516900275,bankcard,11/26/2018
562,562,3543496140349273,jcb,3/26/2019
563,563,3544650989296503,jcb,9/6/2021
564,564,5610509841580716,bankcard,5/1/2024
565,565,3586239517449625,jcb,5/22/2020
566,566,3556695635474181,jcb,4/30/2023
567,567,3568375029787250,jcb,8/25/2018
568,568,3559397204855315,jcb,10/19/2020
569,569,3556415367243989,jcb,1/24/2023
570,570,3528178109660135,jcb,12/3/2020
571,571,4936297041979132,switch,7/14/2023
572,572,201967839803852,diners-club-enroute,6/5/2021
573,573,6333510600358975,switch,6/6/2020
574,574,6763581979226563,maestro,1/28/2019
575,575,6759283639262361,maestro,7/29/2022
576,576,6761117065382921538,maestro,3/30/2022
577,577,5152861036820413,mastercard,4/18/2020
578,578,67637393464004091,maestro,3/15/2022
579,579,3541257420320760,jcb,6/29/2022
580,580,3584811223069889,jcb,3/2/2019
581,581,5451011790988109,diners-club-us-ca,9/22/2022
582,582,6374000411246494,instapayment,5/21/2022
583,583,5893367717008843,maestro,7/3/2019
584,584,3546878073435145,jcb,1/17/2022
585,585,3542176833187005,jcb,1/5/2023
586,586,201434932572116,diners-club-enroute,4/24/2024
587,587,4917593229290208,visa-electron,8/24/2021
588,588,3554065286960841,jcb,3/4/2024
589,589,6380883261305656,instapayment,8/23/2020
590,590,4508672145352683,visa-electron,5/24/2023
591,591,3535868501162828,jcb,10/27/2021
592,592,3571419947186347,jcb,6/28/2020
593,593,6771021596677906,laser,11/6/2019
594,594,3540935557834221,jcb,2/24/2022
595,595,3533299200075420,jcb,4/10/2019
596,596,630498767427135246,maestro,12/14/2022
597,597,5440068232746259,diners-club-us-ca,4/3/2019
598,598,5538258947480772,diners-club-us-ca,6/17/2022
599,599,3539082407293879,jcb,3/3/2022
600,600,3568969612419683,jcb,1/13/2019
601,601,3575548432448113,jcb,6/8/2022
602,602,4041373220649,visa,1/7/2020
603,603,4017954850051674,visa,1/13/2023
604,604,6304021678117280,maestro,7/10/2018
605,605,3565482765563896,jcb,12/20/2022
606,606,3585534998986066,jcb,7/12/2020
607,607,4508893278668741,visa-electron,2/19/2021
608,608,6767254488540238910,solo,10/28/2020
609,609,5038831734810775662,maestro,12/9/2021
